Word,Joy,Optimism,Admiration,Acceptance,Fear,Apprehension,Amazement,Surprise,Loathing,Disgust,Rage,Anger,Anticipation,Interest,Sadness,Disapproval,Appreciation,Grief,Love
deplete,0,0.09133797,0,0,0.006014351,0,0.018274033,0.02127191,0,0,0,0,0.11466348,0,0,0,0,0,0.009354339
defeat,0.07641327,0.002545981,0.039250728,0.12140408,0.013902922,0.046042528,0.08811281,0.116069056,0.013491737,0.14658424,0,0.04948235,0,0.00818383,0.10929388,0.11620733,0,0.077683836,0.03281589
offend,0,0.001813783,0.087775655,0,0.045117922,0.03642191,0.10784449,0.19515382,0.002451682,0.076300755,0.004972885,0.57252944,0,0.057014205,0,0.13828325,0.053225134,0,0.022538535
apology,0,0.014303172,0.14143182,0.2611833,0,0,0.027899837,0,0.048678096,0.06310901,0.058635242,0.09745766,0,0.017090563,0.10169537,0.1257892,0.17451198,0.15513271,0.064452566
destroy,0.005902955,0.008950002,0.034419265,0.04064996,0.12212661,0.005677838,0.041851822,0.016985472,0.0174207,0.030455824,0.10586601,0.031150047,0,0.009870555,0.009304375,0.015224189,0,0.044650916,0.012856461
destruction,0.014171712,0.021487009,0.008588944,0.09472401,0.06547935,0.004729989,0.10047713,0.049408413,0.016326994,0.02537158,0.056249972,0.074784495,0,0.019280322,0.022337785,0,0,0.10719715,0
destroyed,0.005902955,0.008950002,0.034419265,0.04064996,0.12212661,0.005677838,0.041851822,0.016985472,0.0174207,0.030455824,0.10586601,0.031150047,0,0.009870555,0.009304375,0.015224189,0,0.044650916,0.012856461
bankrupt,0.021935953,0.016252484,0.032933384,0.018458,0.032401178,0,0.01696888,0.031044865,0.04293835,0.024086654,0,0.060824685,0,0.06995637,0.007013341,0.012408257,0,0.005144554,0.00906769
sacrifice,0.07207113,0.052117422,0.0804545,0.083351195,0,0,0,0,0,0,0.005740757,0.007143722,0,0.064367026,0.04291627,0,0.09058746,0.122907735,0.12202159
sacrificing,0.0463194,0.024118995,0.060045768,0.046956245,0.01271496,0,0,0,0,0,0.04118159,0,0,0.07372876,0.019860871,0,0.04192223,0.056879465,0.06563131
defence,0,0,0.06604372,0.018111566,0.003719174,0,0.016846681,0.036975525,0.07508439,0,0.027228788,0.001741189,0.011330931,0.001496561,0.015777184,0.040933024,0,0.013715349,0
defend,0.01076655,0.001105924,0.034680884,0.10014157,0.008700769,0.01303585,0.013123476,0.1531712,0.028937064,2.83E-04,0.053349707,0.066212736,0.011991543,0.026849216,0.030438969,0.040726665,0,0.040354267,0
defending,0.01076655,0.001105924,0.034680884,0.10014157,0.008700769,0.01303585,0.013123476,0.1531712,0.028937064,2.83E-04,0.053349707,0.066212736,0.011991543,0.026849216,0.030438969,0.040726665,0,0.040354267,0
accuse,2.73E-05,0.034448385,0.014023442,0.001580904,0.13948236,0,0.013305135,0,0,0.01218887,0.03190393,0.04579351,0.025429964,0.06178567,0,0.0237433,0.034598254,0.007082265,0
target,0.007309155,0,0.06624014,0.031939026,0.03342206,0.0232733,0.09851029,0.08222907,0.12729691,0.14385791,0.047892552,0.08012654,0,0.014716947,0.044770885,0.044287942,0,0.004276621,0
disrupt,0.016946124,0.002064611,0.005796078,0,0.06759963,0.036715526,0.002442421,0.065444075,0.006671741,0,0.007725272,0.058103908,0.049296092,0.005546444,0.028817033,0.033088215,0,0.037857533,0.029710038
execute,0,0,0.040184256,0.013339739,0,0.119402155,0.011330771,0.056345474,0.026759988,0.0123222,6.84E-04,0.00910964,0.011422277,0.016011538,0,0.043222874,0.015305447,0,0
bomb,0.018808514,0,0.04164266,0.053463798,0.005905979,0,0.006803502,0.052099306,0.02825244,0,0.00291647,0.004133785,0.012413821,0.005127364,0.001375678,0,0.001395547,0,0.007549238
kill,0.014741666,0.03431359,0.029846454,0.029116036,0.13255325,0.011604414,0.037134606,4.33E-04,0.012936501,0,0.06843797,0.007856368,0.011609484,0.010055938,0.01795531,0.009541924,0,0.030683944,0.05812703
murder,0,0.017847989,0.037241593,0.033022344,0.021049008,0.011056469,0.022047779,0.031147946,0.041360028,0.009903957,0.08070358,0.014257816,0.02044595,0.044617362,6.74E-05,0.011092709,0.004296483,0.04511948,0.06384388
rape,0.012805101,0.02780785,0.044847645,0.08187278,0.061267663,0.027848238,0,0,0,0,0.050914876,0,0.014988152,0.014389089,0,0.01828814,0.020044673,0.026544675,0.048954237
fuck,0.015575805,0.031658016,0.00683112,0.03980735,0.07251139,0.06367721,0.09576514,0.02113718,0.03161741,0,0.061063867,0.086220056,0,0.02689911,0.032957062,0.07391303,0.02771403,0.061759926,0.028726296
shit,0,0.009753757,0.040616393,0,0,0.005502808,0.06513069,0.084417984,0.070423625,0,0,0,0,0.024121543,0.029391369,0,0.028443826,0,0.02962174
ass,0.033329826,0,3.43E-04,0.025080942,0.015522571,0.04146574,0.108600274,0.011506329,0.021101337,0.09673354,0.03008397,0.005168455,0.047209002,0.019632544,0.020063015,0,0.008937907,0,0.022498008
fucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
