"meanwhile, mallya will be watching the match somewhere in uk any day now cheering go england go indvsnz vijaymallya
",joy,0.39264056833621697,0.19205064963669127,0.33761137032160859,0.078075938366615083,0.066207882668808282,0.098845930798302173,0.38311473603356205,0.33499814573418751,0.058746239961088187,0.16708280791407104,0.029331479669656102,0.032284070665339337,0.28592619344030101,0.214012753365732,0.20130781144316345,0.1871954299068459,0.18987448858642941,0.14112695383010065,0.35122108522700568
"retweet at_user bank robbery! cartoon vijaymallya
",apprehension,0.090802419525431222,0.077124035877001007,0.20910965271719273,0.23935217043102153,0.11886025297627079,0.57074936352993166,0.10338577857696674,0.26904559681939344,0.14465399585004224,0.28200597389576199,0.19109685266657794,0.19141509424692082,0.0,0.4898631833963798,0.16082364007503791,0.10734122000420976,0.073918907077301643,0.06776284674185773,0.028560928562707977
"entertainment buzz gossip tech technology vijaymallya mallya vijay mallya right now
",disapproval,0.15031352443211787,0.25504173439158651,0.26614566848429067,0.20252082415593831,0.33035574264558365,0.33104644346625278,0.17318192324920223,0.26466707322686067,0.089903929725828946,0.13492644598797721,0.26246651079600403,0.032567743989041609,0.36013525183783401,0.31099192770471529,0.018312946623708637,0.38585311983430814,0.078501769593657511,0.0,0.060934096466104815
"complaint from individual claiming to be from ub group has been received, after verification further action will be taken-cops vijaymallya
",acceptance,0.052257113700302837,0.12131651975821045,0.11705709658529906,0.79207365371692418,0.27097287985777396,0.17855543525266904,0.075935019880634558,0.12375752693618969,0.11660873918538195,0.10861522938080936,0.19150866531762456,0.18998379718073255,0.059365539425217273,0.18693037008074354,0.035711121376920674,0.16885129693047207,0.11691584866083804,0.09916338080654763,0.15861215712219223
"retweet at_user what an opening match. thanks ind for a truly amazing experience indvsnz wt20
",appreciation,0.18798348858577074,0.049711375599060026,0.29139301479681501,0.13869067784575173,0.087207518470842071,0.051138276079772171,0.48517876199056942,0.3697999888864858,0.022427853600419434,0.013600795441591318,0.085337534074386157,0.041407692746713409,0.14225700827617471,0.12347526102773698,0.07283299451944325,0.043315762598233887,0.59095080242404918,0.076827371470984285,0.2611527939336532
"retweet at_user expectations always hurt. indvsnz
",anticipation,0.16640031283395729,0.18395707244578285,0.053934739063406401,0.081064224088539083,0.18175660485831369,0.43969989809692045,0.13361468858540293,0.12714578410387001,0.18827108028762662,0.17099640603800648,0.15791625830914358,0.2889431384493919,0.51176831304096815,0.09240946639109926,0.30738954645348249,0.087542134681412476,0.060297788678904451,0.34005078926592192,0.06016542439793926
"one min ki haaamoshi...for paklo-indian people...!!!! smjh yo gay ho go ahead indvsnz
",anticipation,0.17170147441412542,0.40787194163772122,0.073490229706942523,0.22897775831521994,0.38610597523928347,0.14950619325963155,0.0,0.25181686182225316,0.29420627121004295,0.088298834852929886,0.035288669071039003,0.010108825372017405,0.56487191151843064,0.066191203986009417,0.079524728993571769,0.21148387644764588,0.038195770387764338,0.059145205249442112,0.1905677518100215
"mauqamauqa thank god that new zealanders don't understand mauka mauka. indvsnz
",appreciation,0.15560689163168229,0.050447176171598551,0.2177551325499465,0.17988182459635904,0.18291926182774931,0.43469877521304934,0.16098282828713439,0.273620806971546,0.073837344172498542,0.050786373392939899,0.11113019208843866,0.16691875703483428,0.099853456132128149,0.17265649824964191,0.035006912354443198,0.072510736393438968,0.58402379060176701,0.054796521551987887,0.36285919276327006
"retweet at_user exactly
",fear,0.0,0.0,0.40863171324671443,0.002557593532118374,0.60724043425198793,0.031307891160752721,0.25085066355197605,0.15021973448023684,0.35748576402224597,0.0,0.11521188963893392,0.0,0.0,0.1120012494512953,0.0,0.0,0.0,0.0,0.47348315461242063
"at_user so india is bowled out under 83 pakistanis must be happy now .indvsnz
",surprise,0.40707616470262553,0.2318926588165855,0.11314098043145659,0.15811456019019243,0.19195206381159502,0.091529719442514756,0.24755003679817567,0.55363396653930275,0.035204456693880615,0.069522595069406723,0.065599172360121361,0.11131294748260345,0.083359471055108325,0.27301845285436355,0.17890891643344131,0.11145327031597185,0.11617422200340399,0.12703790174749208,0.38907462712156415
"retweet at_user hats off to at_user ; pre match show told us spin could prove india's undoing! indvsnz
",surprise,0.050539129675637784,0.35518177939240414,0.19905255478200834,0.36319615175997999,0.30304993385024903,0.24286444360290294,0.15961909758961079,0.49115274799490694,0.042531599550508115,0.058891111235092275,0.11638230064645927,0.094877802099892161,0.04201808860388867,0.1853003220726912,0.076633421466467566,0.26029709818653979,0.15876428534915366,0.18919190812815689,0.28926502358158923
"asia cup: pakistan 83 all out. wct20: india 79 all out. pakistan won by four runs. indvsnz wt20
",acceptance,0.12713515239718598,0.077680705794896387,0.28804195262056487,0.45137495235193048,0.29329876448572767,0.14751390136226372,0.11619466162346392,0.4036291399410884,0.11301339014412759,0.14009310863026769,0.095344830055764329,0.046663599553445345,0.093136759518135825,0.24554163780478877,0.053890989320999227,0.27006972661207418,0.19405322221278265,0.08082034679279948,0.4174096137259401
"when you get caught in your own spin web indvsnz
",surprise,0.15218418085173413,0.13634911547362361,0.22210776147744471,0.011924049503228562,0.046594356162480532,0.27401506470165393,0.18721747495521801,0.72904618029230572,0.15959765123229608,0.06133136606224654,0.17301069050072271,0.12000524606220897,0.015448466147820361,0.22331259942543802,0.14168747593169551,0.098579183689909922,0.040069116744740341,0.18901032759419412,0.27232909528491456
